timestamp,src_mac,dst_mac,ip_src,ip_dst,proto,icmp_type,tcp_sport,tcp_dport,udp_sport,udp_dport
2025-04-12 23:27:55.290410,e2:03:68:67:a5:70,33:33:ff:67:a5:70,,,,,,,,
2025-04-12 23:27:55.306307,42:f6:d2:3c:bb:98,33:33:ff:3c:bb:98,,,,,,,,
2025-04-12 23:27:55.953592,e2:03:68:67:a5:70,33:33:00:00:00:16,,,,,,,,
2025-04-12 23:27:56.015594,42:f6:d2:3c:bb:98,33:33:00:00:00:16,,,,,,,,
2025-04-12 23:27:56.337009,42:f6:d2:3c:bb:98,33:33:00:00:00:16,,,,,,,,
2025-04-12 23:27:56.337732,e2:03:68:67:a5:70,33:33:00:00:00:16,,,,,,,,
2025-04-12 23:27:56.338321,e2:03:68:67:a5:70,33:33:00:00:00:02,,,,,,,,
2025-04-12 23:27:56.338588,42:f6:d2:3c:bb:98,33:33:00:00:00:02,,,,,,,,
2025-04-12 23:27:56.841020,e2:03:68:67:a5:70,33:33:00:00:00:16,,,,,,,,
2025-04-12 23:27:57.039142,42:f6:d2:3c:bb:98,33:33:00:00:00:16,,,,,,,,
2025-04-12 23:28:00.301642,42:f6:d2:3c:bb:98,33:33:00:00:00:02,,,,,,,,
2025-04-12 23:28:00.877046,e2:03:68:67:a5:70,33:33:00:00:00:02,,,,,,,,
2025-04-12 23:28:08.045108,42:f6:d2:3c:bb:98,33:33:00:00:00:02,,,,,,,,
2025-04-12 23:28:09.587148,e2:03:68:67:a5:70,33:33:00:00:00:02,,,,,,,,
2025-04-12 23:28:22.893810,42:f6:d2:3c:bb:98,33:33:00:00:00:02,,,,,,,,
2025-04-12 23:28:26.481038,e2:03:68:67:a5:70,33:33:00:00:00:02,,,,,,,,
2025-04-12 23:28:28.543911,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:29.548535,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:30.570502,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:31.602282,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:32.624815,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:33.650181,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:34.671683,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:35.693948,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:36.721721,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:37.742868,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:38.766062,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:39.786815,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:40.822933,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:41.840016,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:42.863477,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:43.885422,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:44.909659,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:45.934913,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:46.958873,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:47.978850,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:49.005610,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:50.026693,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:51.053633,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:52.081332,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:52.592294,42:f6:d2:3c:bb:98,33:33:00:00:00:02,,,,,,,,
2025-04-12 23:28:53.098616,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:54.126348,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:55.152539,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:56.175428,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:57.199411,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:58.223717,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:28:58.224686,e2:03:68:67:a5:70,33:33:00:00:00:02,,,,,,,,
2025-04-12 23:28:59.248221,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:29:00.267068,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:29:01.294713,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:29:03.319937,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:29:04.365912,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:29:05.391314,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
2025-04-12 23:29:07.439965,e2:03:68:67:a5:70,ff:ff:ff:ff:ff:ff,,,,,,,,
